Direction,District,Elevator,Floor,Garden,Id,Layout,Price,Region,Renovation,Size,UnitPrice,Year
南,顺义城,板塔结合,24,裕龙三区,101111177230,1室1厅, 310万,顺义,简装,75.0,"41,191元/平",2014
南北,马坡,板楼,11,泰和宜园,101111363391,4室2厅, 560万,顺义,精装,168.0,"33,330元/平",2010
南北,马坡,板楼,5,鲁能7号院颐景润园,101113040665,4室2厅, 800万,顺义,精装,184.0,"43,406元/平",2012
南北,后沙峪,板楼,6,白露雅园东区,101110778159,2室2厅, 426万,顺义,精装,98.0,"43,079元/平",2005
南北,顺义城,板楼,6,双兴南区,101110472248,3室2厅, 490万,顺义,简装,146.0,"33,491元/平",1993
南北,后沙峪,板楼,9,新于庄园,101113478391,2室1厅, 238万,顺义,精装,82.0,"28,738元/平",2013
南北,后沙峪,板楼,13,中粮祥云国际生活区,101113041872,3室1厅, 750万,顺义,其他,114.0,"65,337元/平",2013
南北,顺义城,板楼,6,双兴南区,101112742878,2室1厅, 310万,顺义,简装,96.0,"32,009元/平",1993
南北,马坡,板楼,8,龙湖香醍漫步四区北区,101113432781,3室1厅, 560万,顺义,精装,145.0,"38,362元/平",2011
南北,后沙峪,板楼,8,春晖园随园,101113187353,3室2厅, 730万,顺义,精装,215.0,"33,929元/平",2014
南北,后沙峪,板楼,6,清岚花园回民营一区,101104408606,4室2厅, 395万,顺义,简装,136.0,"28,972元/平",2006
南北,顺义城,板楼,18,红杉一品,101113031401,3室1厅, 520万,顺义,简装,112.0,"46,124元/平",2011
西北,中央别墅区,塔楼,6,名都园,101112767913,3室2厅, 738万,顺义,精装,143.0,"51,361元/平",1999
南北,顺义城,板楼,9,怡馨家园,101112702753,2室2厅, 386万,顺义,精装,94.0,"40,955元/平",2004
南北,马坡,板楼,11,香悦四季,101112220246,3室1厅, 568万,顺义,精装,114.0,"49,821元/平",2001
南北,顺义城,板楼,6,前进花园一区,101113147217,3室2厅, 318万,顺义,其他,97.0,"32,503元/平",2003
南北,顺义城,板楼,6,双兴南区,101113078090,3室2厅, 399万,顺义,其他,106.0,"37,301元/平",2001
南北,窦店,板楼,15,北京城建琨廷北区,101113191761,2室2厅, 208万,房山,精装,85.0,"24,232元/平",2014
东南北,长阳,板楼,18,国际花园2号院,101112580210,3室1厅, 355万,房山,精装,88.0,"39,973元/平",2014
